product_name_en	product_name_da	product_name_de	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_fi	product_name_es	product_name_sv	product_url_en	product_url_da	product_url_de	product_url_fr	product_url_it	product_url_nl	product_url_pl	product_url_fi	product_url_es	product_url_sv	style_en	style_da	style_de	style_fr	style_it	style_nl	style_pl	style_fi	style_es	style_sv	category	environment_image_1	environment_image_2	environment_image_3
Canvas print - Circle composition 3	Lærred - Circle composition 3	Leinwandbild - Circle composition 3	Toile - Circle composition 3	Stampe su tela - Circle composition 3	Canvas schilderi - Circle composition 3	Obraz na płótnie - Circle composition 3	Canvas taulu - Circle composition 3	Lienzo - Circle composition 3	Canvastavla Circle composition 3 - Tavla	https://wamaya.com/product/canvas-print-circle-composition-3/	https://wamaya.dk/product/laerred-circle-composition-3/	https://wamaya.de/product/leinwandbild-circle-composition-3/	https://wamaya.fr/product/toile-circle-composition-3/	https://wamaya.it/product/stampe-su-tela-circle-composition-3/	https://wamaya.nl/product/canvas-schilderi-circle-composition-3/	https://wamaya.pl/product/obraz-na-plotnie-circle-composition-3/	https://wamaya.fi/product/canvas-taulu-circle-composition-3/	https://wamaya.es/product/lienzo-circle-composition-3/	https://wamaya.se/product/canvastavla-circle-composition-3-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2955126&i=1079	https://pictufy.com/api/interiors.php?p=2955126&i=94	
Canvas print - Vintage Flowers No.6	Lærred - Vintage Flowers No.6	Leinwandbild - Vintage Flowers No.6	Toile - Vintage Flowers No.6	Stampe su tela - Vintage Flowers No.6	Canvas schilderi - Vintage Flowers No.6	Obraz na płótnie - Vintage Flowers No.6	Canvas taulu - Vintage Flowers No.6	Lienzo - Vintage Flowers No.6	Canvastavla Vintage Flowers No.6 - Tavla	https://wamaya.com/product/canvas-print-vintage-flowers-no-6/	https://wamaya.dk/product/laerred-vintage-flowers-no-6/	https://wamaya.de/product/leinwandbild-vintage-flowers-no-6/	https://wamaya.fr/product/toile-vintage-flowers-no-6/	https://wamaya.it/product/stampe-su-tela-vintage-flowers-no-6/	https://wamaya.nl/product/canvas-schilderi-vintage-flowers-no-6/	https://wamaya.pl/product/obraz-na-plotnie-vintage-flowers-no-6/	https://wamaya.fi/product/canvas-taulu-vintage-flowers-no-6/	https://wamaya.es/product/lienzo-vintage-flowers-no-6/	https://wamaya.se/product/canvastavla-vintage-flowers-no-6-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2986379&i=1079	https://pictufy.com/api/interiors.php?p=2986379&i=94	
Canvas print - Kiilop&auml;&auml; - Lapland	Lærred - Kiilop&auml;&auml; - Lapland	Leinwandbild - Kiilop&auml;&auml; - Lapland	Toile - Kiilop&auml;&auml; - Lapland	Stampe su tela - Kiilop&auml;&auml; - Lapland	Canvas schilderi - Kiilop&auml;&auml; - Lapland	Obraz na płótnie - Kiilop&auml;&auml; - Lapland	Canvas taulu - Kiilop&auml;&auml; - Lapland	Lienzo - Kiilop&auml;&auml; - Lapland	Canvastavla Kiilop&auml;&auml; - Lapland - Tavla	https://wamaya.com/product/canvas-print-kiilop-lapland/	https://wamaya.dk/product/laerred-kiilop-lapland/	https://wamaya.de/product/leinwandbild-kiilop-lapland/	https://wamaya.fr/product/toile-kiilop-lapland/	https://wamaya.it/product/stampe-su-tela-kiilop-lapland/	https://wamaya.nl/product/canvas-schilderi-kiilop-lapland/	https://wamaya.pl/product/obraz-na-plotnie-kiilop-lapland/	https://wamaya.fi/product/canvas-taulu-kiilop-lapland/	https://wamaya.es/product/lienzo-kiilop-lapland/	https://wamaya.se/product/canvastavla-kiilop-lapland-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Fotokonst	https://pictufy.com/api/interiors.php?p=37932&i=1521	https://pictufy.com/api/interiors.php?p=37932&i=999	
Canvas print - Freeform Geometry	Lærred - Freeform Geometry	Leinwandbild - Freeform Geometry	Toile - Freeform Geometry	Stampe su tela - Freeform Geometry	Canvas schilderi - Freeform Geometry	Obraz na płótnie - Freeform Geometry	Canvas taulu - Freeform Geometry	Lienzo - Freeform Geometry	Canvastavla Freeform Geometry - Tavla	https://wamaya.com/product/canvas-print-freeform-geometry/	https://wamaya.dk/product/laerred-freeform-geometry/	https://wamaya.de/product/leinwandbild-freeform-geometry/	https://wamaya.fr/product/toile-freeform-geometry/	https://wamaya.it/product/stampe-su-tela-freeform-geometry/	https://wamaya.nl/product/canvas-schilderi-freeform-geometry/	https://wamaya.pl/product/obraz-na-plotnie-freeform-geometry/	https://wamaya.fi/product/canvas-taulu-freeform-geometry/	https://wamaya.es/product/lienzo-freeform-geometry/	https://wamaya.se/product/canvastavla-freeform-geometry-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Beige	https://pictufy.com/api/interiors.php?p=2985809&i=1079	https://pictufy.com/api/interiors.php?p=2985809&i=94	
Canvas print - Awakening III	Lærred - Awakening III	Leinwandbild - Awakening III	Toile - Awakening III	Stampe su tela - Awakening III	Canvas schilderi - Awakening III	Obraz na płótnie - Awakening III	Canvas taulu - Awakening III	Lienzo - Awakening III	Canvastavla Awakening III - Tavla	https://wamaya.com/product/canvas-print-awakening-iii/	https://wamaya.dk/product/laerred-awakening-iii/	https://wamaya.de/product/leinwandbild-awakening-iii/	https://wamaya.fr/product/toile-awakening-iii/	https://wamaya.it/product/stampe-su-tela-awakening-iii/	https://wamaya.nl/product/canvas-schilderi-awakening-iii/	https://wamaya.pl/product/obraz-na-plotnie-awakening-iii/	https://wamaya.fi/product/canvas-taulu-awakening-iii/	https://wamaya.es/product/lienzo-awakening-iii/	https://wamaya.se/product/canvastavla-awakening-iii-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Stående tavlor	https://pictufy.com/api/interiors.php?p=2761705&i=1079	https://pictufy.com/api/interiors.php?p=2761705&i=94	
Canvas print - Morning blues	Lærred - Morning blues	Leinwandbild - Morning blues	Toile - Morning blues	Stampe su tela - Morning blues	Canvas schilderi - Morning blues	Obraz na płótnie - Morning blues	Canvas taulu - Morning blues	Lienzo - Morning blues	Canvastavla Morning blues - Tavla	https://wamaya.com/product/canvas-print-morning-blues/	https://wamaya.dk/product/laerred-morning-blues/	https://wamaya.de/product/leinwandbild-morning-blues/	https://wamaya.fr/product/toile-morning-blues/	https://wamaya.it/product/stampe-su-tela-morning-blues/	https://wamaya.nl/product/canvas-schilderi-morning-blues/	https://wamaya.pl/product/obraz-na-plotnie-morning-blues/	https://wamaya.fi/product/canvas-taulu-morning-blues/	https://wamaya.es/product/lienzo-morning-blues/	https://wamaya.se/product/canvastavla-morning-blues-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Berg	https://pictufy.com/api/interiors.php?p=1030235&i=1521	https://pictufy.com/api/interiors.php?p=1030235&i=999	
Canvas print - Snow is falling…	Lærred - Snow is falling…	Leinwandbild - Snow is falling…	Toile - Snow is falling…	Stampe su tela - Snow is falling…	Canvas schilderi - Snow is falling…	Obraz na płótnie - Snow is falling…	Canvas taulu - Snow is falling…	Lienzo - Snow is falling…	Canvastavla Snow is falling… - Tavla	https://wamaya.com/product/canvas-print-snow-is-falling/	https://wamaya.dk/product/laerred-snow-is-falling/	https://wamaya.de/product/leinwandbild-snow-is-falling/	https://wamaya.fr/product/toile-snow-is-falling/	https://wamaya.it/product/stampe-su-tela-snow-is-falling/	https://wamaya.nl/product/canvas-schilderi-snow-is-falling/	https://wamaya.pl/product/obraz-na-plotnie-snow-is-falling/	https://wamaya.fi/product/canvas-taulu-snow-is-falling/	https://wamaya.es/product/lienzo-snow-is-falling/	https://wamaya.se/product/canvastavla-snow-is-falling-tavla/	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Japandi	Djur	https://pictufy.com/api/interiors.php?p=1650104&i=1521	https://pictufy.com/api/interiors.php?p=1650104&i=999	
Canvas print - Beach Surf	Lærred - Beach Surf	Leinwandbild - Beach Surf	Toile - Beach Surf	Stampe su tela - Beach Surf	Canvas schilderi - Beach Surf	Obraz na płótnie - Beach Surf	Canvas taulu - Beach Surf		Canvastavla Beach Surf - Tavla	https://wamaya.com/product/canvas-print-beach-surf/	https://wamaya.dk/product/laerred-beach-surf/	https://wamaya.de/product/leinwandbild-beach-surf/	https://wamaya.fr/product/toile-beach-surf/	https://wamaya.it/product/stampe-su-tela-beach-surf/	https://wamaya.nl/product/canvas-schilderi-beach-surf/	https://wamaya.pl/product/obraz-na-plotnie-beach-surf/	https://wamaya.fi/product/canvas-taulu-beach-surf/		https://wamaya.se/product/canvastavla-beach-surf-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Klassiskt	https://pictufy.com/api/interiors.php?p=2262131&i=1079	https://pictufy.com/api/interiors.php?p=2262131&i=94	
Canvas print - Road Trip In Space	Lærred - Road Trip In Space	Leinwandbild - Road Trip In Space	Toile - Road Trip In Space	Stampe su tela - Road Trip In Space	Canvas schilderi - Road Trip In Space	Obraz na płótnie - Road Trip In Space	Canvas taulu - Road Trip In Space	Lienzo - Road Trip In Space	Canvastavla Road Trip In Space - Tavla	https://wamaya.com/product/canvas-print-road-trip-in-space/	https://wamaya.dk/product/laerred-road-trip-in-space/	https://wamaya.de/product/leinwandbild-road-trip-in-space/	https://wamaya.fr/product/toile-road-trip-in-space/	https://wamaya.it/product/stampe-su-tela-road-trip-in-space/	https://wamaya.nl/product/canvas-schilderi-road-trip-in-space/	https://wamaya.pl/product/obraz-na-plotnie-road-trip-in-space/	https://wamaya.fi/product/canvas-taulu-road-trip-in-space/	https://wamaya.es/product/lienzo-road-trip-in-space/	https://wamaya.se/product/canvastavla-road-trip-in-space-tavla/	Modern	Moderne	Modern	Moderne	Modern	Modern	Modern	Moderni	Moderno	Modern	Fantasy	https://pictufy.com/api/interiors.php?p=2493057&i=1079	https://pictufy.com/api/interiors.php?p=2493057&i=94	
Canvas print - La Bohémienne endormie 1897	Lærred - La Bohémienne endormie 1897	Leinwandbild - La Bohémienne endormie 1897	Toile - La Bohémienne endormie 1897	Stampe su tela - La Bohémienne endormie 1897	Canvas schilderi - La Bohémienne endormie 1897	Obraz na płótnie - La Bohémienne endormie 1897	Canvas taulu - La Bohémienne endormie 1897	Lienzo - La Bohémienne endormie 1897	Canvastavla La Bohémienne endormie 1897 - Tavla	https://wamaya.com/product/canvas-print-la-bohemienne-endormie-1897-2/	https://wamaya.dk/product/laerred-la-bohemienne-endormie-1897/	https://wamaya.de/product/leinwandbild-la-bohemienne-endormie-1897/	https://wamaya.fr/product/toile-la-bohemienne-endormie-1897/	https://wamaya.it/product/stampe-su-tela-la-bohemienne-endormie-1897/	https://wamaya.nl/product/canvas-schilderi-la-bohemienne-endormie-1897/	https://wamaya.pl/product/obraz-na-plotnie-la-bohemienne-endormie-1897/	https://wamaya.fi/product/canvas-taulu-la-bohemienne-endormie-1897/	https://wamaya.es/product/lienzo-la-bohemienne-endormie-1897/	https://wamaya.se/product/canvastavla-la-bohemienne-endormie-1897-tavla-2/	Bohemian	Bohemisk	Bohemian	Bohème	Bohemian	Bohemian	Bohemian	Boheemi	Bohemio	Bohemisk	Bohemiska tavlor	https://pictufy.com/api/interiors.php?p=2440327&i=1521	https://pictufy.com/api/interiors.php?p=2440327&i=999	
